0.610	-8.534	24.452	-0.481	-0.299
0.610	-8.124	24.794	-0.173	-0.297
0.620	-7.688	25.155	0.157	-0.295
0.620	-7.259	25.494	0.509	-0.293
0.630	-6.849	25.855	0.861	-0.291
0.630	-6.414	26.175	1.206	-0.289
0.640	-5.971	26.502	1.506	-0.287
0.640	-5.490	26.861	1.833	-0.285
0.650	-4.909	27.290	2.203	-0.284
0.650	-4.230	27.770	2.638	-0.282
0.660	-3.571	28.261	3.033	-0.279
0.660	-2.994	28.656	3.299	-0.278
0.670	-2.376	29.070	3.609	-0.277
0.670	-1.743	29.504	3.983	-0.275
0.680	-1.076	29.962	4.409	-0.274
0.680	-0.368	30.456	4.888	-0.272
0.690	0.398	30.975	5.454	-0.271
0.690	1.185	31.528	5.960	-0.269
0.700	1.929	32.144	6.359	-0.268
0.700	2.564	32.761	6.639	-0.268
0.710	3.202	33.275	6.967	-0.270
0.710	3.793	33.627	7.313	-0.271
0.720	4.319	33.944	7.616	-0.271
0.720	4.847	34.251	7.938	-0.270
0.730	5.661	34.396	8.616	-0.269
0.730	6.236	34.591	9.136	-0.264
0.740	6.774	34.790	9.535	-0.260
0.740	7.222	34.985	9.813	-0.258
0.750	7.681	35.165	10.118	-0.257
0.750	8.152	35.331	10.435	-0.256
0.760	8.597	35.477	10.706	-0.254
0.760	9.067	35.641	10.967	-0.253
0.770	9.439	35.844	11.210	-0.252
0.770	9.770	36.063	11.449	-0.251
0.780	10.036	36.317	11.609	-0.252
0.780	10.224	36.608	11.755	-0.253
0.790	10.472	36.919	11.910	-0.255
0.790	10.686	37.242	12.053	-0.257
0.800	10.914	37.570	12.205	-0.260
0.800	11.207	37.905	12.467	-0.263
0.810	11.593	38.244	12.851	-0.265
0.810	12.109	38.573	13.368	-0.266
0.820	12.692	38.908	13.947	-0.266
0.820	13.235	39.265	14.524	-0.266
0.830	13.769	39.586	15.062	-0.266
0.830	14.267	39.863	15.546	-0.267
0.840	14.718	40.119	16.008	-0.267
0.840	15.123	40.409	16.396	-0.267
0.850	15.544	40.661	16.756	-0.268
0.850	16.016	40.908	17.208	-0.269
0.860	16.645	41.107	17.833	-0.269
0.860	17.326	41.314	18.505	-0.268
0.870	18.002	41.567	19.210	-0.266
0.870	18.702	41.867	19.930	-0.265
0.880	19.384	42.215	20.647	-0.265
0.880	19.981	42.654	21.292	-0.266
0.890	20.564	43.158	21.884	-0.268
0.890	21.151	43.685	22.468	-0.273
0.900	21.788	44.240	23.115	-0.277
0.900	22.526	44.737	23.865	-0.282
0.910	23.388	45.202	24.711	-0.285
0.910	24.377	45.687	25.680	-0.288
0.920	25.434	46.210	26.728	-0.291
0.920	26.526	46.764	27.786	-0.294
0.930	27.603	47.342	28.794	-0.299
0.930	28.644	47.959	29.751	-0.304
0.940	29.679	48.584	30.688	-0.310
0.940	30.766	49.156	31.734	-0.316
0.950	31.944	49.641	32.912	-0.322
0.950	33.206	49.983	34.236	-0.327
0.960	34.585	50.273	35.632	-0.329
0.960	36.148	50.542	37.223	-0.331
0.970	37.963	50.821	39.102	-0.332
0.970	39.920	51.116	41.178	-0.334
0.980	41.805	51.453	43.197	-0.336
0.980	43.707	51.734	45.134	-0.340
0.990	45.561	51.959	46.929	-0.345
0.990	47.446	52.248	48.709	-0.348
1.000	49.379	52.512	50.523	-0.354
1.000	51.315	52.680	52.305	-0.360
1.010	53.258	52.753	54.095	-0.365
1.010	55.164	52.784	55.858	-0.369
1.020	57.134	52.729	57.663	-0.373
1.020	59.172	52.631	59.565	-0.376
1.030	61.265	52.530	61.590	-0.379
1.030	63.470	52.389	63.687	-0.384
1.040	65.679	52.254	65.791	-0.389
1.040	67.871	52.077	67.919	-0.395
1.050	69.999	51.892	69.983	-0.401
1.050	72.037	51.741	71.924	-0.408
1.060	74.168	51.578	73.938	-0.416
1.060	76.487	51.277	76.026	-0.425
1.070	78.929	50.769	78.183	-0.433
1.070	81.331	50.152	80.306	-0.440
1.080	83.765	49.381	82.459	-0.447
1.080	86.249	48.388	84.662	-0.454
1.090	88.647	47.214	86.814	-0.459
1.090	90.997	45.903	88.929	-0.464
1.100	93.254	44.501	90.984	-0.469
1.100	95.574	43.090	93.128	-0.474
1.110	98.026	41.650	95.386	-0.481
1.110	100.633	40.172	97.838	-0.492
1.120	103.209	38.551	100.323	-0.508
1.120	105.609	36.759	102.673	-0.524
1.130	107.725	34.877	104.802	-0.540
1.130	109.601	32.886	106.675	-0.555
1.140	111.357	30.806	108.372	-0.568
1.140	112.989	28.605	109.916	-0.580
1.150	114.503	26.347	111.306	-0.592
1.150	115.912	24.113	112.577	-0.603
1.160	117.248	21.810	113.746	-0.615
1.160	118.522	19.437	114.811	-0.626
1.170	119.778	17.020	115.828	-0.637
1.170	121.051	14.636	116.892	-0.648
1.180	122.339	12.351	118.090	-0.662
1.180	123.579	10.152	119.353	-0.680
1.190	124.682	8.008	120.517	-0.700
1.190	125.649	5.877	121.582	-0.718
1.200	126.482	3.643	122.565	-0.736
1.200	127.176	1.382	123.471	-0.751
1.210	127.874	-0.852	124.428	-0.765
1.210	128.610	-3.133	125.438	-0.781
1.220	129.336	-5.449	126.478	-0.798
1.220	129.895	-7.793	127.553	-0.817
1.230	130.270	-10.086	128.597	-0.835
1.230	130.530	-12.277	129.514	-0.851
1.240	130.622	-14.338	130.307	-0.865
1.240	130.668	-16.196	130.983	-0.875
1.250	130.686	-17.838	131.512	-0.884
1.250	130.677	-19.284	131.955	-0.890
1.260	130.605	-20.621	132.328	-0.895
1.260	130.363	-21.911	132.709	-0.899
1.270	130.044	-23.019	133.155	-0.900
1.270	129.651	-24.020	133.661	-0.901
1.280	129.287	-24.934	134.170	-0.902
1.280	128.927	-25.760	134.618	-0.904
1.290	128.553	-26.597	134.999	-0.905
1.290	128.071	-27.492	135.386	-0.904
1.300	127.430	-28.455	135.834	-0.902
1.300	126.567	-29.456	136.365	-0.899
1.310	125.406	-30.534	136.998	-0.894
1.310	124.447	-31.539	137.604	-0.885
1.320	123.567	-32.557	138.240	-0.879
1.320	122.647	-33.588	138.960	-0.875
1.330	121.584	-34.608	139.778	-0.871
1.330	120.357	-35.549	140.689	-0.867
1.340	119.195	-36.383	141.476	-0.861
1.340	118.183	-37.211	142.119	-0.855
1.350	117.239	-38.061	142.652	-0.849
1.350	116.279	-38.782	143.265	-0.842
1.360	115.247	-39.365	143.942	-0.836
1.360	114.071	-39.867	144.584	-0.830
1.370	112.571	-40.327	145.251	-0.821
1.370	110.906	-40.675	145.929	-0.807
1.380	109.161	-40.956	146.651	-0.792
1.380	107.201	-41.200	147.564	-0.775
1.390	105.459	-41.462	148.367	-0.759
1.390	104.139	-41.725	148.959	-0.744
1.400	103.148	-41.952	149.510	-0.732
1.400	101.992	-42.102	150.285	-0.725
1.410	100.507	-42.137	151.247	-0.718
1.410	98.763	-42.109	152.347	-0.710
1.420	96.788	-41.985	153.615	-0.700
1.420	94.539	-41.811	154.988	-0.689
1.430	92.138	-41.667	156.333	-0.676
1.430	90.243	-41.561	157.351	-0.659
1.440	89.145	-41.558	157.955	-0.646
1.440	88.225	-41.606	158.437	-0.638
1.450	87.422	-41.626	158.782	-0.631
1.450	86.630	-41.437	159.069	-0.624
1.460	85.764	-41.149	159.325	-0.616
1.460	84.967	-40.824	159.580	-0.607
1.470	84.100	-40.404	159.959	-0.599
1.470	83.157	-39.853	160.350	-0.592
1.480	82.119	-39.145	160.667	-0.585
1.480	81.106	-38.448	160.750	-0.575
1.490	80.143	-37.829	160.607	-0.562
1.490	79.382	-37.291	160.229	-0.546
1.500	78.958	-36.790	159.621	-0.530
1.500	78.616	-36.286	159.066	-0.516
1.510	78.458	-35.751	158.480	-0.503
1.510	78.348	-35.201	158.073	-0.494
1.520	78.081	-34.382	157.894	-0.487
1.520	77.789	-33.337	157.792	-0.482
1.530	77.234	-32.212	157.639	-0.479
1.530	76.453	-31.065	157.264	-0.472
1.540	75.548	-29.925	156.627	-0.458
1.540	74.861	-28.750	155.624	-0.439
1.550	74.514	-27.502	154.436	-0.418
1.550	74.552	-26.258	153.120	-0.401
