0.000	-0.515	-0.118	0.003
0.010	-0.511	-0.127	0.010
0.010	-0.511	-0.129	-0.002
0.020	-0.508	-0.120	0.006
0.020	-0.513	-0.140	0.009
0.030	-0.510	-0.139	0.001
0.030	-0.511	-0.153	-0.002
0.040	-0.515	-0.157	-0.010
0.040	-0.520	-0.152	-0.020
0.050	-0.506	-0.152	-0.027
0.050	-0.516	-0.153	-0.022
0.060	-0.524	-0.150	-0.033
0.060	-0.526	-0.156	-0.032
0.070	-0.526	-0.156	-0.014
0.070	-0.524	-0.166	-0.017
0.080	-0.524	-0.179	-0.013
0.080	-0.507	-0.189	-0.019
0.090	-0.500	-0.212	-0.020
0.090	-0.514	-0.220	-0.020
0.100	-0.521	-0.219	-0.030
0.100	-0.512	-0.218	-0.039
0.110	-0.508	-0.226	-0.037
0.110	-0.512	-0.234	-0.021
0.120	-0.499	-0.233	-0.018
0.120	-0.506	-0.247	-0.029
0.130	-0.511	-0.250	-0.027
0.130	-0.499	-0.245	-0.032
0.140	-0.499	-0.247	-0.029
0.140	-0.498	-0.255	-0.032
0.150	-0.500	-0.255	-0.024
0.150	-0.504	-0.267	-0.014
0.160	-0.493	-0.262	-0.010
0.160	-0.488	-0.261	-0.007
0.170	-0.486	-0.267	-0.016
0.170	-0.497	-0.264	-0.014
0.180	-0.500	-0.257	-0.024
0.180	-0.494	-0.247	-0.016
0.190	-0.496	-0.263	-0.016
0.190	-0.495	-0.261	-0.022
0.200	-0.495	-0.262	-0.027
0.200	-0.505	-0.270	-0.019
0.210	-0.514	-0.273	-0.019
0.210	-0.501	-0.267	-0.029
0.220	-0.508	-0.279	-0.026
0.220	-0.519	-0.293	-0.027
0.230	-0.519	-0.298	-0.014
0.230	-0.507	-0.302	-0.010
0.240	-0.496	-0.297	-0.013
0.240	-0.493	-0.314	0.007
0.250	-0.492	-0.332	0.002
0.250	-0.491	-0.342	-0.002
0.260	-0.504	-0.333	0.003
0.260	-0.501	-0.336	-0.001
0.270	-0.497	-0.338	0.007
0.270	-0.500	-0.339	0.013
0.280	-0.523	-0.348	0.006
0.280	-0.527	-0.345	0.005
0.290	-0.510	-0.349	0.001
0.290	-0.511	-0.355	-0.011
0.300	-0.527	-0.356	-0.020
0.300	-0.544	-0.361	-0.019
0.310	-0.531	-0.368	-0.023
0.310	-0.522	-0.369	-0.024
0.320	-0.514	-0.371	-0.024
0.320	-0.516	-0.376	-0.019
0.330	-0.522	-0.371	-0.024
0.330	-0.530	-0.376	-0.011
0.340	-0.535	-0.369	-0.024
0.340	-0.544	-0.367	-0.022
0.350	-0.547	-0.370	-0.031
0.350	-0.538	-0.367	-0.031
0.360	-0.539	-0.365	-0.032
0.360	-0.550	-0.384	-0.030
0.370	-0.544	-0.376	-0.033
0.370	-0.545	-0.390	-0.027
0.380	-0.556	-0.388	-0.035
0.380	-0.562	-0.391	-0.039
0.390	-0.563	-0.399	-0.025
0.390	-0.561	-0.399	-0.037
0.400	-0.566	-0.394	-0.031
0.400	-0.573	-0.397	-0.028
0.410	-0.587	-0.407	-0.030
0.410	-0.596	-0.413	-0.017
0.420	-0.610	-0.428	-0.019
0.420	-0.607	-0.427	0.001
0.430	-0.608	-0.428	-0.003
0.430	-0.603	-0.424	-0.009
0.440	-0.598	-0.428	-0.009
0.440	-0.607	-0.437	0.006
0.450	-0.598	-0.434	0.003
0.450	-0.591	-0.434	0.023
0.460	-0.590	-0.450	0.020
0.460	-0.592	-0.441	0.014
0.470	-0.586	-0.446	0.028
0.470	-0.597	-0.457	0.036
0.480	-0.595	-0.452	0.032
0.480	-0.596	-0.459	0.035
0.490	-0.600	-0.457	0.034
0.490	-0.604	-0.466	0.024
0.500	-0.599	-0.480	0.014
0.500	-0.610	-0.500	0.016
0.510	-0.622	-0.513	0.028
0.510	-0.637	-0.516	0.026
0.520	-0.625	-0.518	0.034
0.520	-0.625	-0.521	0.040
0.530	-0.628	-0.512	0.037
0.530	-0.621	-0.506	0.039
0.540	-0.630	-0.500	0.031
0.540	-0.617	-0.505	0.040
0.550	-0.615	-0.494	0.027
0.550	-0.611	-0.486	0.028
0.560	-0.602	-0.481	0.034
0.560	-0.601	-0.494	0.045
0.570	-0.594	-0.500	0.045
0.570	-0.601	-0.506	0.045
0.580	-0.606	-0.519	0.041
0.580	-0.608	-0.524	0.040
0.590	-0.609	-0.528	0.037
0.590	-0.608	-0.525	0.040
0.600	-0.616	-0.526	0.047
0.600	-0.616	-0.526	0.047
0.610	-0.622	-0.532	0.044
0.610	-0.622	-0.530	0.048
0.620	-0.614	-0.522	0.048
0.620	-0.618	-0.529	0.056
0.630	-0.632	-0.538	0.071
0.630	-0.632	-0.551	0.072
0.640	-0.630	-0.537	0.079
0.640	-0.616	-0.547	0.095
0.650	-0.616	-0.563	0.090
0.650	-0.614	-0.570	0.099
0.660	-0.624	-0.561	0.113
0.660	-0.609	-0.556	0.116
0.670	-0.600	-0.567	0.100
0.670	-0.605	-0.557	0.114
0.680	-0.606	-0.572	0.120
0.680	-0.606	-0.571	0.112
0.690	-0.608	-0.576	0.142
0.690	-0.606	-0.583	0.132
0.700	-0.602	-0.583	0.140
0.700	-0.615	-0.588	0.132
